"id","nome","descricao","preco","imagem","estoque"
"1","HD Externo","Ideal para backup de dados e substituição em notebooks e desktops.","299.00","img/hd-externo.png","488"
"2","Memória 8GB DDR4","Pente de memória 8 GB DDR4, 2666 MHz, SO-DIMM.","189.00","img/ram.png","490"
"3","SSD 240GB","SSD SATA III para inicialização rápida do sistema operacional.","249.00","img/ssd.png","485"
"4","Mouse Óptico USB","Compatível com a maioria dos dispositivos. Pronto para uso imediato.","39.00","img/mouse.png","400"
"5","Cabo HDMI 1.5m","Conexão de alta qualidade para monitores, TVs e notebooks.","25.00","img/hdmi.png","394"
"6","Pen Drive Twist 8Gb USB","Capacidade de armazenamento de 8 GB: ideal para guardar documentos, fotos e vídeos.","219.00","img/pendrive.png","495"
"7","Teclado USB ABNT2","Teclado com layout brasileiro, ideal para digitação confortável e duradoura.","59.00","img/teclado.png","497"
"8","Cooler para Processador","Refrigeração eficiente e silenciosa para prolongar a vida útil do seu processador.","45.00","img/cooler.png","498"
"9","Suporte para Notebook","Eleva e melhora a ventilação do seu notebook. Mais conforto no uso diário.","49.00","img/suporte.png","499"
"10","HD 1TB SATA","Armazenamento amplo para arquivos, programas e backups.","210.00","img/hdsata.png","490"
"11","Controle USB para PC","Compatível com Windows e emuladores. Design ergonômico e leve.","65.00","img/controle.png","498"
"12","Webcam HD USB","Ideal para videochamadas e aulas online, com microfone embutido.","89.00","img/webcam.png","450"
"13","Adaptador Wi-Fi USB","Conecte seu PC ou notebook à internet sem precisar de cabos.","49.00","img/adaptador.png","497"
"14","Roteador Wi-Fi 300Mbps","Cobertura estável para casas e pequenos escritórios. Fácil instalação.","129.00","img/roteador.png","496"
"15","Mousepad Antiderrapante","Base emborrachada para melhor aderência e conforto no uso diário.","19.90","img/mousepad.png","499"
"16","Monitor LED 21.5""","Ideal para uso doméstico ou profissional, com imagem nítida em Full HD.","599.00","img/monitor.png","495"
"17","Hub USB 4 Portas","Conecte vários dispositivos simultaneamente com praticidade.","42.00","img/hub.png","497"
"18","Cabo de Rede 3 Metros","Conexão cabeada estável para internet e redes locais.","24.00","img/cabo.png","499"
